Date,Low,Open,Close,High
2015-02-25 00:00:00,235.55,238.76,237.25,239.36
2015-02-26 00:00:00,233.86,237.25,236.1,237.77
2015-02-27 00:00:00,235.65,236.1,252.51,257.5
2015-02-28 00:00:00,248.78,252.51,253.53,254.19
2015-03-01 00:00:00,244.97,253.53,258.74,260.64
2015-03-02 00:00:00,257.06,258.74,271.35,272.47
2015-03-03 00:00:00,267.04,271.35,281.45,286.28
2015-03-04 00:00:00,266.47,281.45,271.92,283.38
2015-03-05 00:00:00,263.63,271.92,274.86,280.4
2015-03-06 00:00:00,269.39,274.86,272.21,276.7
2015-03-07 00:00:00,269.62,272.21,275.89,277.7
2015-03-08 00:00:00,271.98,275.89,274.48,277.34
2015-03-09 00:00:00,274,274.48,288.52,291.96
2015-03-10 00:00:00,288.52,288.52,290.51,300.34
2015-03-11 00:00:00,288.88,290.51,295.83,296.74
2015-03-12 00:00:00,291.83,295.83,293.87,296.74
2015-03-13 00:00:00,284.28,293.87,284.28,293.99
2015-03-14 00:00:00,280.27,284.28,281.36,286.19
2015-03-15 00:00:00,280.67,281.36,285.34,286.15
2015-03-16 00:00:00,285.31,285.34,290.38,293.93
2015-03-17 00:00:00,283.4,290.38,284.46,291.75
2015-03-18 00:00:00,248.73,284.46,255.37,284.59
2015-03-19 00:00:00,246.78,255.37,259.74,263.09
2015-03-20 00:00:00,258.39,259.74,260.84,264.24
2015-03-21 00:00:00,254.79,260.84,259.62,262.14
2015-03-22 00:00:00,259.07,259.62,267.8,269.98
2015-03-23 00:00:00,260.65,267.8,265.94,270.04
2015-03-24 00:00:00,242.88,265.94,245.44,266.4
2015-03-25 00:00:00,236.05,245.44,246.13,249.2
2015-03-26 00:00:00,244.72,246.13,247.65,254.44
2015-03-27 00:00:00,244.38,247.65,246.58,249.21
2015-03-28 00:00:00,246.18,246.58,252.25,254.11
2015-03-29 00:00:00,239.43,252.25,242.02,252.38
2015-03-30 00:00:00,236.44,242.02,246.85,248.6
2015-03-31 00:00:00,241.14,246.85,243.39,248.18
2015-04-01 00:00:00,240.13,243.39,246.55,247.06
2015-04-02 00:00:00,244.29,246.55,252.26,254.2
2015-04-03 00:00:00,251.17,252.26,253.54,255.75
2015-04-04 00:00:00,250.34,253.54,253.12,254.58
2015-04-05 00:00:00,251.12,253.12,259.95,260.09
2015-04-06 00:00:00,253.18,259.95,254.52,261.15
2015-04-07 00:00:00,251.09,254.52,252.8,255.23
2015-04-08 00:00:00,242.59,252.8,244.36,253.38
2015-04-09 00:00:00,237.9,244.36,243.26,245.72
2015-04-10 00:00:00,231.78,243.26,235.22,243.42
2015-04-11 00:00:00,233.42,235.22,236.12,239.65
2015-04-12 00:00:00,232.65,236.12,235.64,237.11
2015-04-13 00:00:00,220.58,235.64,223.41,236.79
2015-04-14 00:00:00,215.46,223.41,218.27,224.27
2015-04-15 00:00:00,217.84,218.27,223.57,223.6
2015-04-16 00:00:00,223.28,223.57,228.11,229.28
2015-04-17 00:00:00,221.11,228.11,222.23,228.37
2015-04-18 00:00:00,220.12,222.23,222.84,223.87
2015-04-19 00:00:00,221.5,222.84,221.69,226.13
2015-04-20 00:00:00,221.13,221.69,224.31,226.22
2015-04-21 00:00:00,223.7,224.31,235.81,235.92
2015-04-22 00:00:00,230.97,235.81,233.92,238.18
2015-04-23 00:00:00,232.81,233.92,235.56,236.33
2015-04-24 00:00:00,229.25,235.56,230.79,235.8
2015-04-25 00:00:00,225.8,230.79,225.85,232.11
2015-04-26 00:00:00,214.28,225.85,218.81,226.44
2015-04-27 00:00:00,217.5,218.81,228.5,232.54
2015-04-28 00:00:00,222.87,228.5,225.68,230.4
2015-04-29 00:00:00,223.21,225.68,225.98,227.17
2015-04-30 00:00:00,225.42,225.98,236.57,240.27
2015-05-01 00:00:00,231.91,236.57,232.12,239.34
2015-05-02 00:00:00,232.12,232.12,234.9,235.82
2015-05-03 00:00:00,233.82,234.9,240.12,243.62
2015-05-04 00:00:00,237.55,240.12,238.77,242.83
2015-05-05 00:00:00,231.9,238.77,236.55,239.22
2015-05-06 00:00:00,228.74,236.55,230.05,236.87
2015-05-07 00:00:00,228.72,230.05,237.78,239.93
2015-05-08 00:00:00,236.09,237.78,243.39,246.08
2015-05-09 00:00:00,238.17,243.39,240.48,247.73
2015-05-10 00:00:00,237.76,240.48,239.63,244.28
2015-05-11 00:00:00,238.78,239.63,241.85,244.07
2015-05-12 00:00:00,239.46,241.85,240.99,242.84
2015-05-13 00:00:00,234.1,240.99,235.8,243.65
2015-05-14 00:00:00,232.58,235.8,236.74,238.32
2015-05-15 00:00:00,235.64,236.74,237.31,238.64
2015-05-16 00:00:00,234.69,237.31,235.73,237.45
2015-05-17 00:00:00,235.5,235.73,236.1,237.59
2015-05-18 00:00:00,231.74,236.1,232.87,236.85
2015-05-19 00:00:00,231.75,232.87,231.94,234
2015-05-20 00:00:00,231.72,231.94,234.25,234.89
2015-05-21 00:00:00,233.84,234.25,235.3,236.45
2015-05-22 00:00:00,235.03,235.3,240.52,241.4
2015-05-23 00:00:00,238.44,240.52,239.03,241.68
2015-05-24 00:00:00,236.86,239.03,241.19,244.19
2015-05-25 00:00:00,236.67,241.19,237.49,241.58
2015-05-26 00:00:00,235.7,237.49,237.33,238.73
2015-05-27 00:00:00,236.43,237.33,237.18,238.8
2015-05-28 00:00:00,236.54,237.18,237.47,237.9
2015-05-29 00:00:00,235.44,237.47,237.1,237.56
2015-05-30 00:00:00,231.99,237.1,233.29,237.14
2015-05-31 00:00:00,229.12,233.29,230,233.4
2015-06-01 00:00:00,221.71,230,223.31,231.78
2015-06-02 00:00:00,222.85,223.31,225.75,226.67
2015-06-03 00:00:00,223.8,225.75,225.65,227.39
